SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
DRREDDY, EQ, 12-Jun-2019, 2605.85, 2612.00, 2628.80, 2572.50, 2591.00, 2589.70, 2596.55, 528873, 13732.45, 33739, 206163, 38.98
DRSDILIP, SM, 12-Jun-2019, 75.45, 76.00, 76.75, 75.15, 75.25, 75.25, 75.28, 108800, 81.91, 38, 100800, 92.65
DSSL, EQ, 12-Jun-2019, 31.55, 31.65, 35.30, 31.65, 33.00, 32.75, 33.70, 15815, 5.33, 215, 9193, 58.13
DTIL, EQ, 12-Jun-2019, 206.35, 206.10, 206.50, 203.05, 205.00, 205.05, 204.68, 1871, 3.83, 37, 1741, 93.05
DUCON, EQ, 12-Jun-2019, 15.75, 16.15, 16.35, 14.45, 14.50, 14.65, 14.94, 719451, 107.48, 1618, 290853, 40.43
DVL, EQ, 12-Jun-2019, 88.20, 87.65, 88.45, 87.35, 88.10, 88.00, 88.00, 5945, 5.23, 118, 4608, 77.51
DWARKESH, EQ, 12-Jun-2019, 27.35, 27.35, 27.60, 26.80, 27.00, 27.05, 27.20, 299216, 81.37, 1126, 130219, 43.52
DYNAMATECH, EQ, 12-Jun-2019, 1478.90, 1460.05, 1481.60, 1420.30, 1421.00, 1428.40, 1446.96, 3680, 53.25, 236, 3301, 89.70
DYNPRO, EQ, 12-Jun-2019, 114.80, 114.00, 115.00, 113.00, 113.00, 113.15, 113.55, 1724, 1.96, 37, 1685, 97.74
E2E, SM, 12-Jun-2019, 40.00, 40.00, 40.00, 40.00, 40.00, 40.00, 40.00, 4000, 1.60, 2, 4000, 100.00
EASTSILK, BE, 12-Jun-2019, 1.65, 1.70, 1.70, 1.60, 1.65, 1.65, 1.65, 3933, 0.06, 14, -, -
EASUNREYRL, EQ, 12-Jun-2019, 4.80, 4.80, 5.20, 4.50, 4.70, 4.95, 4.93, 30729, 1.52, 78, 25467, 82.88
EC2RG, MF, 12-Jun-2019, 7.08, 6.45, 6.76, 6.45, 6.76, 6.76, 6.50, 6000, 0.39, 4, 5000, 83.33
ECLERX, EQ, 12-Jun-2019, 925.95, 926.00, 926.00, 906.05, 912.00, 912.00, 911.85, 9523, 86.84, 1306, 7416, 77.87
ECLFINANCE, N5, 12-Jun-2019, 1006.44, 1009.85, 1009.85, 1004.01, 1005.00, 1005.00, 1005.52, 1032, 10.38, 19, 927, 89.83
ECLFINANCE, N7, 12-Jun-2019, 1805.00, 1805.00, 1805.00, 1805.00, 1805.00, 1805.00, 1805.00, 50, 0.90, 4, 50, 100.00
ECLFINANCE, NB, 12-Jun-2019, 995.00, 1003.95, 1003.95, 1001.00, 1001.00, 1001.61, 1001.61, 13, 0.13, 5, 13, 100.00
ECLFINANCE, NE, 12-Jun-2019, 1025.00, 1024.00, 1024.00, 1024.00, 1024.00, 1024.00, 1024.00, 25, 0.26, 1, 25, 100.00
ECLFINANCE, NF, 12-Jun-2019, 1030.00, 1030.00, 1031.00, 1029.00, 1030.00, 1030.00, 1029.82, 388, 4.00, 11, 388, 100.00
ECLFINANCE, NG, 12-Jun-2019, 950.00, 950.00, 986.00, 950.00, 953.00, 953.00, 952.61, 356, 3.39, 11, 356, 100.00
ECLFINANCE, NI, 12-Jun-2019, 1005.00, 1011.90, 1011.90, 1011.90, 1011.90, 1011.90, 1011.90, 40, 0.40, 1, 40, 100.00
ECLFINANCE, NJ, 12-Jun-2019, 915.00, 915.00, 931.80, 915.00, 931.80, 931.80, 918.36, 250, 2.30, 4, 200, 80.00
ECLFINANCE, NK, 12-Jun-2019, 970.10, 971.00, 979.20, 971.00, 979.20, 979.20, 971.32, 52, 0.51, 2, 52, 100.00
ECLFINANCE, NM, 12-Jun-2019, 998.00, 1000.00, 1000.00, 998.00, 998.00, 998.00, 999.00, 350, 3.50, 4, 350, 100.00
ECLFINANCE, NN, 12-Jun-2019, 1000.00, 1001.00, 1001.00, 1001.00, 1001.00, 1001.00, 1001.00, 3, 0.03, 1, 3, 100.00
ECLFINANCE, NO, 12-Jun-2019, 977.00, 979.50, 979.50, 975.00, 975.00, 975.00, 975.48, 480, 4.68, 12, 480, 100.00
ECLFINANCE, NQ, 12-Jun-2019, 980.00, 997.00, 997.00, 997.00, 997.00, 997.00, 997.00, 3, 0.03, 1, 3, 100.00
ECLFINANCE, NR, 12-Jun-2019, 990.61, 990.01, 990.01, 990.01, 990.01, 990.01, 990.01, 425, 4.21, 2, 425, 100.00
ECLFINANCE, NS, 12-Jun-2019, 971.25, 995.00, 997.00, 981.55, 981.55, 987.86, 988.64, 238, 2.35, 6, 238, 100.00
EDELWEISS, EQ, 12-Jun-2019, 185.00, 184.45, 185.00, 180.00, 180.10, 180.95, 181.87, 681333, 1239.13, 22017, 311004, 45.65
EDL, BZ, 12-Jun-2019, 5.95, 5.80, 6.20, 5.75, 5.80, 5.80, 5.82, 11543, 0.67, 25, -, -
EDUCOMP, BZ, 12-Jun-2019, 1.70, 1.65, 1.75, 1.65, 1.75, 1.65, 1.66, 66021, 1.09, 91, -, -
EHFLNCD, N1, 12-Jun-2019, 1075.00, 1075.00, 1075.00, 1075.00, 1075.00, 1075.00, 1075.00, 31, 0.33, 2, 31, 100.00
EHFLNCD, N5, 12-Jun-2019, 926.05, 903.01, 903.01, 902.10, 902.10, 902.10, 902.56, 10, 0.09, 2, 10, 100.00
EICHERMOT, EQ, 12-Jun-2019, 20132.00, 20152.00, 20200.00, 19972.95, 20130.00, 20105.95, 20052.67, 41876, 8397.26, 10780, 11292, 26.97
EIDPARRY, EQ, 12-Jun-2019, 176.40, 176.00, 177.80, 174.25, 174.90, 174.75, 175.41, 49352, 86.57, 2349, 31912, 64.66
EIFFL, SM, 12-Jun-2019, 112.90, 112.90, 113.50, 112.90, 113.50, 113.40, 113.14, 5600, 6.34, 5, 5600, 100.00
EIHAHOTELS, EQ, 12-Jun-2019, 359.75, 365.25, 365.25, 355.00, 355.00, 357.20, 358.17, 401, 1.44, 44, 358, 89.28
EIHOTEL, EQ, 12-Jun-2019, 173.95, 173.00, 174.45, 168.00, 168.25, 168.60, 169.54, 106483, 180.53, 4414, 56212, 52.79
EIMCOELECO, EQ, 12-Jun-2019, 415.60, 415.60, 417.90, 405.00, 412.50, 409.25, 408.82, 2053, 8.39, 127, 1366, 66.54
EKC, EQ, 12-Jun-2019, 25.10, 25.10, 25.50, 24.80, 25.00, 24.95, 25.01, 30567, 7.64, 216, 24175, 79.09
ELAND, BE, 12-Jun-2019, 6.15, 5.90, 6.30, 5.85, 6.25, 6.25, 5.99, 13156, 0.79, 28, -, -
ELECON, EQ, 12-Jun-2019, 49.25, 49.70, 49.80, 48.80, 49.30, 49.20, 49.40, 21344, 10.54, 410, 11700, 54.82
ELECTCAST, EQ, 12-Jun-2019, 17.75, 18.10, 18.30, 17.60, 17.80, 17.80, 17.96, 93988, 16.88, 309, 55312, 58.85
ELECTHERM, EQ, 12-Jun-2019, 288.10, 288.10, 289.00, 274.00, 278.15, 280.75, 279.34, 62537, 174.69, 1120, 37505, 59.97
ELGIEQUIP, EQ, 12-Jun-2019, 264.05, 262.50, 265.80, 262.25, 262.60, 263.65, 263.30, 6243, 16.44, 167, 4056, 64.97
ELGIRUBCO, EQ, 12-Jun-2019, 22.65, 23.75, 23.75, 21.65, 23.25, 23.10, 22.99, 3374, 0.78, 43, 3020, 89.51
EMAMILTD, EQ, 12-Jun-2019, 339.70, 339.70, 341.00, 337.15, 340.00, 339.45, 339.14, 105993, 359.46, 4654, 61926, 58.42
EMAMIPAP, EQ, 12-Jun-2019, 139.40, 139.05, 141.60, 139.00, 140.20, 140.20, 139.89, 666, 0.93, 12, 658, 98.80
EMAMIREAL, EQ, 12-Jun-2019, 80.20, 80.00, 83.00, 79.00, 82.20, 81.80, 81.70, 9398, 7.68, 211, 7047, 74.98
EMBASSY, RR, 12-Jun-2019, 363.11, 369.00, 382.45, 355.10, 357.10, 363.59, 368.14, 78800, 290.09, 189, 46400, 58.88
EMCO, BE, 12-Jun-2019, 1.80, 1.80, 1.85, 1.75, 1.75, 1.75, 1.81, 8388, 0.15, 35, -, -
EMKAY, EQ, 12-Jun-2019, 75.05, 75.10, 78.00, 74.05, 76.00, 76.35, 76.44, 7914, 6.05, 196, 5563, 70.29
EMKAYTOOLS, SM, 12-Jun-2019, 137.20, 132.00, 132.00, 132.00, 132.00, 132.00, 132.00, 600, 0.79, 1, 600, 100.00
EMMBI, EQ, 12-Jun-2019, 143.70, 144.05, 144.20, 138.50, 143.50, 143.55, 141.86, 10719, 15.21, 323, 6669, 62.22
EMOFSR1RDP, MF, 12-Jun-2019, 7.31, 7.31, 7.31, 7.31, 7.31, 7.31, 7.31, 4000, 0.29, 3, 4000, 100.00
EMOFSR1RGG, MF, 12-Jun-2019, 7.52, 7.53, 7.65, 7.52, 7.65, 7.59, 7.57, 40075, 3.03, 26, 31880, 79.55
ENDURANCE, EQ, 12-Jun-2019, 1204.45, 1189.05, 1200.70, 1180.00, 1181.00, 1183.20, 1189.65, 10193, 121.26, 1955, 8210, 80.55
ENERGYDEV, EQ, 12-Jun-2019, 6.60, 6.60, 6.70, 6.40, 6.50, 6.50, 6.52, 19624, 1.28, 108, 16838, 85.80
ENGINERSIN, EQ, 12-Jun-2019, 118.85, 118.95, 120.10, 117.05, 118.00, 117.65, 118.42, 1262617, 1495.22, 8694, 412049, 32.63
ENIL, EQ, 12-Jun-2019, 441.85, 446.95, 456.55, 431.45, 433.30, 435.60, 440.84, 7884, 34.76, 440, 3217, 40.80
EON, EQ, 12-Jun-2019, 33.20, 33.20, 35.00, 32.85, 33.30, 33.35, 33.84, 22202, 7.51, 378, 8719, 39.27
EQ30, EQ, 12-Jun-2019, 339.90, 342.00, 342.10, 321.81, 342.10, 342.10, 332.87, 60, 0.20, 19, 34, 56.67
EQUITAS, EQ, 12-Jun-2019, 136.90, 135.95, 138.00, 134.55, 137.95, 137.30, 136.52, 1048721, 1431.72, 8622, 109149, 10.41
ERFLNCDI, N3, 12-Jun-2019, 880.00, 940.00, 944.88, 890.00, 944.88, 944.88, 916.42, 21, 0.19, 3, 21, 100.00
ERIS, EQ, 12-Jun-2019, 499.30, 504.90, 504.90, 492.65, 496.80, 497.90, 497.81, 12162, 60.54, 1971, 9380, 77.13
EROSMEDIA, EQ, 12-Jun-2019, 36.90, 33.25, 33.25, 33.25, 33.25, 33.25, 33.25, 144662, 48.10, 669, 134652, 93.08
ESABINDIA, EQ, 12-Jun-2019, 1108.50, 1110.05, 1112.05, 1082.20, 1082.20, 1090.95, 1096.02, 4162, 45.62, 461, 2373, 57.02
ESCORTS, EQ, 12-Jun-2019, 589.80, 586.00, 594.20, 571.60, 575.35, 575.30, 580.66, 1191214, 6916.93, 21791, 190440, 15.99
ESSARSHPNG, BE, 12-Jun-2019, 9.60, 9.40, 9.85, 9.20, 9.20, 9.25, 9.47, 4268, 0.40, 46, -, -
ESSDEE, BZ, 12-Jun-2019, 8.10, 8.00, 8.10, 7.70, 7.70, 7.70, 7.72, 8718, 0.67, 67, -, -
ESSELPACK, EQ, 12-Jun-2019, 129.40, 129.50, 131.20, 129.25, 131.20, 130.95, 130.16, 428949, 558.31, 2023, 333084, 77.65
ESTER, EQ, 12-Jun-2019, 35.35, 35.20, 35.80, 34.50, 34.65, 34.65, 35.05, 13734, 4.81, 146, 11410, 83.08
EUROCERA, BE, 12-Jun-2019, 1.70, 1.70, 1.70, 1.65, 1.70, 1.70, 1.68, 2923, 0.05, 9, -, -
EUROMULTI, BE, 12-Jun-2019, 0.60, 0.60, 0.65, 0.60, 0.60, 0.60, 0.64, 60, 0.00, 3, -, -
EVEREADY, EQ, 12-Jun-2019, 90.05, 91.80, 91.80, 88.05, 89.35, 89.95, 89.86, 203336, 182.71, 1171, 137186, 67.47
EVERESTIND, EQ, 12-Jun-2019, 423.25, 440.00, 440.00, 415.00, 417.00, 417.10, 420.16, 17969, 75.50, 778, 10278, 57.20
